SWMM5 LID Report File

Project:  
LID Unit: SWALE in Subcatchment SWALE

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 04/07/2016 11:15:00	   11.250	    0.541	   0.0038	    0.593	    0.000	    0.000	    0.534	   0.008	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:20:00	   11.333	    0.540	   0.0038	    0.589	    0.000	    0.000	    0.530	   0.008	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:25:00	   11.417	    0.539	   0.0038	    0.585	    0.000	    0.000	    0.527	   0.007	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:30:00	   11.500	    0.539	   0.0038	    0.585	    0.000	    0.000	    0.527	   0.007	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:35:00	   11.583	    0.478	   0.0038	    0.526	    0.000	    0.000	    0.474	   0.007	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:40:00	   11.667	    0.472	   0.0038	    0.518	    0.000	    0.000	    0.466	   0.007	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 11:45:00	   11.750	    0.470	   0.0038	    0.509	    0.000	    0.000	    0.459	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 11:50:00	   11.833	    0.470	   0.0038	    0.508	    0.000	    0.000	    0.457	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 11:55:00	   11.917	    0.469	   0.0038	    0.511	    0.000	    0.000	    0.460	   0.006	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 12:00:00	   12.000	    0.469	   0.0038	    0.513	    0.000	    0.000	    0.462	   0.006	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 12:05:00	   12.083	    0.423	   0.0038	    0.466	    0.000	    0.000	    0.419	   0.006	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 12:10:00	   12.167	    0.419	   0.0038	    0.457	    0.000	    0.000	    0.411	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 12:15:00	   12.250	    0.417	   0.0038	    0.452	    0.000	    0.000	    0.407	   0.004	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 12:20:00	   12.333	    0.417	   0.0038	    0.453	    0.000	    0.000	    0.407	   0.004	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 12:25:00	   12.417	    0.417	   0.0038	    0.455	    0.000	    0.000	    0.409	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
 04/07/2016 12:30:00	   12.500	    0.417	   0.0038	    0.455	    0.000	    0.000	    0.410	   0.005	    0.000	    0.003	    0.000	    0.000	    0.000
